Month,Quantity
Jan-19,38
Feb-19,18
Mar-19,17
Apr-19,58
May-19,193
Jun-19,1884
Jul-19,16253
Aug-19,52636
Sep-19,16856
Oct-19,8143
Nov-19,4011
Dec-19,1247
Jan-20,197
Feb-20,172
Mar-20,159
Apr-20,147
May-20,134
Jun-20,121
Jul-20,109
Aug-20,96
Sep-20,83
Oct-20,71
Nov-20,58
Dec-20,45
Jan-21,32
Feb-21,9
Mar-21,13
Apr-21,3
May-21,43
Jun-21,272
Jul-21,2286
Aug-21,7698
Sep-21,7841
Oct-21,5458
Nov-21,3567
Dec-21,1207
Jan-22,126
Feb-22,20
Mar-22,20
Apr-22,23
May-22,163
Jun-22,737
Jul-22,1571
Aug-22,3521
Sep-22,9911
Oct-22,21932
Nov-22,19334
Dec-22,5024
Jan-23,566
Feb-23,166
Mar-23,111
Apr-23,143
May-23,1036
Jun-23,5956
Jul-23,43854
Aug-23,71976
Sep-23,79598
Oct-23,67769
Nov-23,33523
